compressed,raw
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,102
102,105
103,107
104,110
105,112
106,115
107,118
108,121
109,124
110,127
111,130
112,133
113,136
114,139
115,143
116,146
117,150
118,153
119,157
120,161
121,165
122,169
123,173
124,177
125,181
126,186
127,190
128,195
129,199
130,204
131,209
132,214
133,219
134,225
135,230
136,236
137,241
138,247
139,253
140,259
141,266
142,272
143,279
144,285
145,292
146,299
147,307
148,314
149,322
150,330
151,337
152,346
153,354
154,363
155,371
156,380
157,390
158,399
159,409
160,419
161,429
162,439
163,450
164,461
165,472
166,483
167,495
168,507
169,519
170,532
171,545
172,558
173,571
174,585
175,599
176,614
177,629
178,644
179,659
180,675
181,692
182,709
183,726
184,743
185,761
186,780
187,799
188,818
189,838
190,858
191,879
192,900
193,922
194,944
195,967
196,991
197,1015
198,1039
199,1064
200,1090
201,1117
202,1144
203,1171
204,1200
205,1229
206,1259
207,1289
208,1320
209,1352
210,1385
211,1419
212,1453
213,1488
214,1524
215,1561
216,1599
217,1638
218,1677
219,1718
220,1760
221,1802
222,1846
223,1891
224,1937
225,1983
226,2032
227,2081
228,2131
229,2183
230,2236
231,2290
232,2345
233,2402
234,2460
235,2520
236,2581
237,2644
238,2708
239,2773
240,2841
241,2910
242,2980
243,3052
244,3126
245,3202
246,3280
247,3359
248,3440
249,3524
250,3609
251,3697
252,3786
253,3878
254,3972
255,4068
