table_index,e_step,esa_v
1,278,40.88
1,279,40.88
1,280,40.88
1,281,40.88
1,282,40.88
1,283,40.88
1,284,40.88
1,285,40.88
1,286,40.88
1,287,40.88
1,288,40.88
1,289,40.88
1,290,40.88
1,291,40.88
1,292,40.88
1,293,40.88
1,294,40.88
1,295,40.88
1,296,40.88
1,297,40.88
1,298,40.88
1,299,40.88
1,300,40.88
1,301,40.88
1,302,40.88
1,303,40.88
1,304,40.88
1,305,40.88
1,306,40.88
1,307,40.88
1,308,40.88
1,309,40.88
1,310,40.88
1,311,40.88
1,312,40.88
1,313,40.88
1,314,40.88
1,315,40.88
1,316,40.88
1,317,40.88
1,318,40.88
1,319,40.88
1,320,40.88
1,321,40.88
1,322,40.88
1,323,40.88
1,324,40.88
1,325,40.88
1,326,40.88
1,327,40.88
1,328,40.88
1,329,40.88
1,330,40.88
1,331,40.88
1,332,40.88
1,333,40.88
1,334,40.88
1,335,40.88
1,336,40.88
1,337,40.88
1,338,40.88
1,339,40.88
1,340,40.88
1,341,40.88
1,342,40.88
1,343,40.88
1,344,40.88
1,345,40.88
1,346,40.88
1,347,40.88
1,348,40.88
1,349,40.88
1,350,40.88
1,351,40.88
1,352,40.88
1,353,40.88
1,354,40.88
1,355,40.88
1,356,40.88
1,357,40.88
1,358,40.88
1,359,40.88
1,360,40.88
1,361,40.88
1,362,40.88
1,363,40.88
1,364,40.88
1,365,40.88
1,366,40.88
1,367,40.88
1,368,40.88
1,369,40.88
1,370,40.88
1,371,40.88
1,372,40.88
1,373,40.88
1,374,40.88
1,375,40.88
1,376,40.88
1,377,40.88
1,378,40.88
1,379,40.88
1,380,40.88
1,381,40.88
1,382,40.88
1,383,40.88
1,384,40.88
1,385,40.88
1,386,40.88
1,387,40.88
1,388,40.88
1,389,40.88
1,390,40.88
1,391,40.88
1,392,40.88
1,393,40.88
1,394,40.88
1,395,40.88
1,396,40.88
1,397,40.88
1,398,40.88
1,399,40.88
1,400,40.88
1,401,40.88
1,402,40.88
1,403,40.88
1,404,40.88
1,405,40.88
1,406,40.88
1,407,40.88
1,408,40.88
1,409,40.88
1,410,40.88
1,411,40.88
1,412,40.88
1,413,40.88
1,414,40.88
1,415,40.88
1,416,40.88
1,417,40.88
1,418,40.88
1,419,40.88
1,420,40.88
1,421,40.88
1,422,40.88
1,423,40.88
1,424,40.88
1,425,40.88
1,426,40.88
1,427,40.88
1,428,40.88
1,429,40.88
1,430,40.88
1,431,40.88
1,432,40.88
1,433,40.88
1,434,40.88
1,435,40.88
1,436,40.88
1,437,40.88
1,438,40.88
1,439,40.88
1,440,40.88
1,441,40.88
1,442,40.88
1,443,40.88
1,444,40.88
1,445,40.88
1,446,40.88
1,447,40.88
1,448,40.88
1,449,40.88
1,450,40.88
1,451,40.88
1,452,40.88
1,453,40.88
1,454,40.88
1,455,40.88
1,456,40.88
1,457,40.88
1,458,40.88
1,459,40.88
1,460,40.88
1,461,40.88
1,462,40.88
1,463,40.88
1,464,40.88
1,465,40.88
1,466,40.88
1,467,40.88
1,468,40.88
1,469,40.88
1,470,40.88
1,471,40.88
1,472,40.88
1,473,40.88
1,474,40.88
1,475,40.88
1,476,40.88
1,477,40.88
1,478,40.88
1,479,40.88
1,480,40.88
1,481,40.88
1,482,40.88
1,483,40.88
1,484,40.88
1,485,40.88
1,486,40.88
1,487,40.88
1,488,40.88
1,489,40.88
1,490,40.88
1,491,40.88
1,492,40.88
1,493,40.88
1,494,40.88
1,495,40.88
1,496,40.88
1,497,40.88
1,498,40.88
1,499,40.88
1,500,40.88
1,501,40.88
1,502,40.88
1,503,40.88
1,504,40.88
1,505,40.88
1,506,40.88
1,507,40.88
1,508,40.88
1,509,40.88
1,510,40.88
1,511,40.88
1,512,40.88
1,513,40.88
1,514,40.88
1,515,40.88
1,516,40.88
1,517,40.88
1,518,40.88
1,519,40.88
1,520,40.88
1,521,40.88
1,522,40.88
1,523,40.88
1,524,40.88
1,525,40.88
1,526,40.88
1,527,40.88
1,528,40.88
1,529,40.88
1,530,40.88
1,531,40.88
1,532,40.88
1,533,40.88
1,534,40.88
1,535,40.88
1,536,40.88
1,537,40.88
1,538,40.88
1,539,40.88
1,540,40.88
1,541,40.88
1,542,40.88
1,543,40.88
1,544,40.88
1,545,40.88
1,546,40.88
1,547,40.88
1,548,40.88
1,549,40.88
1,550,40.88
1,551,40.88
1,552,40.88
1,553,40.88
1,554,40.88
1,555,40.88
1,556,40.88
1,557,40.88
1,558,40.88
1,559,40.88
1,560,40.88
1,561,40.88
1,562,40.88
1,563,40.88
1,564,40.88
1,565,40.88
1,566,40.88
1,567,40.88
1,568,40.88
1,569,40.88
1,570,40.88
1,571,40.88
1,572,40.88
1,573,40.88
1,574,40.88
1,575,40.88
1,576,40.88
1,577,40.88
1,578,40.88
1,579,40.88
1,580,40.88
1,581,40.88
1,582,40.88
1,583,40.88
1,584,40.88
1,585,40.88
1,586,40.88
1,587,40.88
1,588,40.88
1,589,40.88
1,590,40.88
1,591,40.88
1,592,40.88
1,593,40.88
1,594,40.88
1,595,40.88
1,596,40.88
1,597,40.88
1,598,40.88
1,599,40.88
1,600,40.88
1,601,40.88
1,602,40.88
1,603,40.88
1,604,40.88
1,605,40.88
1,606,40.88
1,607,40.88
1,608,40.88
1,609,40.88
1,610,40.88
1,611,40.88
1,612,40.88
1,613,40.88
1,614,40.88
1,615,40.88
1,616,40.88
1,617,40.88
1,618,40.88
1,619,40.88
1,620,40.88
1,621,40.88
1,622,40.88
1,623,40.88
1,624,40.88
1,625,40.88
1,626,40.88
1,627,40.88
1,628,40.88
1,629,40.88
1,630,40.88
1,631,40.88
1,632,40.88
1,633,40.88
1,634,40.88
1,635,40.88
1,636,40.88
1,637,40.88
1,638,40.88
1,639,40.88
1,640,40.88
1,641,40.88
1,642,40.88
1,643,40.88
1,644,40.88
1,645,40.88
1,646,40.88
1,647,40.88
1,648,40.88
1,649,40.88
1,650,40.88
1,651,40.88
1,652,40.88
1,653,40.88
1,654,40.88
1,655,40.88
1,656,40.88
1,657,40.88
1,658,40.88
1,659,40.88
1,660,40.88
1,661,40.88
1,662,40.88
1,663,40.88
1,664,40.88
1,665,40.88
1,666,40.88
1,667,40.88
1,668,40.88
1,669,40.88
1,670,40.88
1,671,40.88
1,672,40.88
1,673,40.88
1,674,40.88
1,675,40.88
1,676,40.88
1,677,40.88
1,678,40.88
1,679,40.88
1,680,40.88
1,681,40.88
1,682,40.88
1,683,40.88
1,684,40.88
1,685,40.88
1,686,40.88
1,687,40.88
1,688,40.88
1,689,40.88
1,690,40.88
1,691,40.88
1,692,40.88
1,693,40.88
1,694,40.88
1,695,40.88
1,696,40.88
1,697,40.88
1,698,40.88
1,699,40.88
1,700,40.88
1,701,40.88
1,702,40.88
1,703,40.88
1,704,40.88
1,705,40.88
